brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure,series_id
长安,长安X5 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cd244d8b1ce74e41adac4d863c8e6350~tplv-resize:640:0.png?psm=motor.rank.data,6361,5.99-8.39万,长安汽车,紧凑型SUV,汽油,未知,3年或10万公里,9683
比亚迪,秦L EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/85588b26d46b44a9b56e5291a42dfcd0~tplv-resize:640:0.png?psm=motor.rank.data,6232,10.78-12.78万,比亚迪,中型车,纯电动,未知,6年或15万公里,25076
吉利银河,银河E5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cc78c9cb168045de9b364f51140dafd5~tplv-resize:640:0.png?psm=motor.rank.data,6224,8.78-16.48万,吉利银河,紧凑型SUV,纯电动,未知,6年或15万公里,10026
firefly萤火虫,firefly萤火虫,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3552ee01219b490aad189f48f9ad7b2e~tplv-resize:640:0.png?psm=motor.rank.data,6078,11.98-12.58万,蔚来,小型车,纯电动,未知,4年或10万公里,25116
荣威,荣威i5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4b96326cb76b40369887d7b011aae241~tplv-resize:640:0.png?psm=motor.rank.data,5946,4.49-10.18万,上汽集团,紧凑型车,汽油,未知,4年或15万公里,3041
日产,逍客,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b0ba10f07d0747ab9af74e9bac6acaf9~tplv-resize:640:0.png?psm=motor.rank.data,5931,9.13-14.38万,东风日产,紧凑型SUV,汽油,未知,3年或10万公里,1150
比亚迪,秦L DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bd39ba753b9c4393b21bd28ad5603bed~tplv-resize:640:0.png?psm=motor.rank.data,5924,8.98-14.38万,比亚迪,中型车,插电式混合动力,未知,6年或15万公里,9796
比亚迪,宋L DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/27daf9eeac3041149bfdb84c778475f9~tplv-resize:640:0.png?psm=motor.rank.data,5581,11.98-15.98万,比亚迪,中型SUV,插电式混合动力,未知,6年或15万公里,20012
本田,皓影,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/adf3499684444e6d98ae7a0dc8c0edaf~tplv-resize:640:0.png?psm=motor.rank.data,5567,12.39-20.09万,广汽本田,紧凑型SUV,汽油,未知,3年或10万公里,4079
大众,宝来,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/6569140387014329aaee5c92ae4a3fa1~tplv-resize:640:0.png?psm=motor.rank.data,5522,6.66-12.76万,一汽-大众,紧凑型车,汽油,未知,3年或10万公里,409
